Width,Height,Assembly_Time_ms,C_Time_ms,Speedup_Factor
0,0,0.000,0.000,-nan(ind)
10,10,0.000,0.000,-nan(ind)
20,20,0.000,0.000,-nan(ind)
30,30,0.000,0.000,-nan(ind)
40,40,0.000,0.000,-nan(ind)
50,50,0.000,0.000,-nan(ind)
60,60,0.000,0.000,-nan(ind)
70,70,0.000,0.000,-nan(ind)
80,80,0.000,0.033,inf
90,90,0.000,0.067,inf
100,100,0.000,0.100,inf
110,110,0.033,0.033,1.000
120,120,0.000,0.067,inf
130,130,0.000,0.000,-nan(ind)
140,140,0.033,0.033,1.000
150,150,0.000,0.067,inf
160,160,0.000,0.200,inf
170,170,0.000,0.067,inf
180,180,0.000,0.133,inf
190,190,0.000,0.067,inf
200,200,0.000,0.100,inf
210,210,0.000,0.200,inf
220,220,0.000,0.267,inf
230,230,0.000,0.200,inf
240,240,0.000,0.167,inf
250,250,0.000,0.167,inf
260,260,0.033,0.267,8.000
270,270,0.000,0.267,inf
280,280,0.000,0.233,inf
290,290,0.033,0.100,3.000
300,300,0.000,0.333,inf
310,310,0.000,0.267,inf
320,320,0.067,0.400,6.000
330,330,0.100,0.233,2.333
340,340,0.000,0.333,inf
350,350,0.000,0.433,inf
360,360,0.033,0.567,17.000
370,370,0.033,0.233,7.000
380,380,0.067,0.567,8.500
390,390,0.067,0.467,7.000
400,400,0.033,0.500,15.000
410,410,0.033,0.633,19.000
420,420,0.067,0.667,10.000
430,430,0.067,0.633,9.500
440,440,0.033,0.467,14.000
450,450,0.033,0.667,20.000
460,460,0.000,0.767,inf
470,470,0.033,0.833,25.000
480,480,0.100,0.667,6.667
490,490,0.100,0.600,6.000
500,500,0.000,0.833,inf
510,510,0.133,0.933,7.000
520,520,0.033,0.933,28.000
530,530,0.100,0.900,9.000
540,540,0.033,1.000,30.000
550,550,0.000,0.967,inf
560,560,0.033,0.967,29.000
570,570,0.100,1.100,11.000
580,580,0.200,1.067,5.333
590,590,0.067,1.233,18.500
600,600,0.100,1.267,12.667
610,610,0.033,1.200,36.000
620,620,0.100,1.167,11.667
630,630,0.067,1.267,19.000
640,640,0.033,1.300,39.000
650,650,0.133,1.367,10.250
660,660,0.100,1.367,13.667
670,670,0.000,1.433,inf
680,680,0.233,1.467,6.286
690,690,0.133,1.533,11.500
700,700,0.133,1.633,12.250
710,710,0.100,1.600,16.000
720,720,0.200,1.567,7.833
730,730,0.133,1.800,13.500
740,740,0.100,1.833,18.333
750,750,0.167,1.700,10.200
760,760,0.267,1.933,7.250
770,770,0.233,1.867,8.000
780,780,0.233,2.000,8.571
790,790,0.167,2.033,12.200
800,800,0.233,2.000,8.571
810,810,0.467,2.167,4.643
820,820,0.200,2.067,10.333
830,830,0.267,2.200,8.250
840,840,0.200,2.133,10.667
850,850,0.433,2.333,5.385
860,860,0.400,2.600,6.500
870,870,0.333,2.500,7.500
880,880,0.533,2.567,4.813
890,890,0.267,2.567,9.625
900,900,0.233,2.667,11.429
910,910,0.267,2.833,10.625
920,920,0.133,2.767,20.750
930,930,0.233,2.800,12.000
940,940,0.133,2.800,21.000
950,950,0.333,2.800,8.400
960,960,0.367,3.000,8.182
970,970,0.300,3.067,10.222
980,980,0.367,3.167,8.636
990,990,0.333,3.200,9.600
1000,1000,0.367,3.300,9.000
